E_eV,F_erg/cm^2/s
56,328646004496.1018,5.826633706132603e-16
57,363210006510.8501,7.113660182804886e-16
58,401409136349.8584,8.684429817545272e-16
59,443625703743.7256,1.0601130808264912e-15
60,490282226288.4084,1.2938623625972473e-15
61,541845658143.33295,1.5789889720115754e-15
62,598832063465.5706,1.92672819311892e-15
63,661811781353.3795,2.3506977900957603e-15
64,731415133991.5938,2.867482034167958e-15
65,808338735127.9124,3.497189977508e-15
66,893352462017.4232,4.264267702297848e-15
67,987307160612.9352,5.198304748827856e-15
68,1091143161117.2592,6.335198281902336e-15
69,1205899689123.9253,7.715241371477582e-15
70,1332725266536.226,9.392443305005491e-15
71,1472889206360.454,1.1429709120796876e-14
72,1627794316417.0942,1.3898439714489661e-14
73,1798990939113.0024,1.6886603322425618e-14
74,1988192467789.2876,2.0499211075327865e-14
75,2197292494937.7732,2.4870384278958037e-14
76,2428383763911.111,3.015077162836703e-14
77,2683779113801.638,3.65290610384957e-14
78,2966034627112.406,4.4189611984331404e-14
79,3277975211889.977,5.3353155514838036e-14
80,3622722874353.6606,6.434506116976488e-14
81,4003727964983.083,7.753233655902976e-14
82,4424803710785.505,9.33355768909948e-14
83,4890164379353.347,1.1224070724567174e-13
84,5404467456670.768,1.3478449654885113e-13
85,5972860260798.788,1.6170963388788553e-13
86,6601031457964.547,1.9392091263514042e-13
87,7295267996644.92,2.323515353704247e-13
88,8062518029459.953,2.7825309064564545e-13
89,8910460452619.715,3.329498109262931e-13
90,9847581758898.479,3.982376171521323e-13
91,10883260973306.826,4.759937393361435e-13
92,12027863521526.39,5.68743510654773e-13
93,13292844970573.908,6.790864784625476e-13
94,14690865679966.416,8.105673471045532e-13
95,16235917510854.504,9.668049531873053e-13
96,17943463861271.58,1.1527657031432812e-12
97,19830594429018.71,1.373457194962702e-12
98,21916196251104.42,1.6358079744508618e-12
99,24221142731559.13,1.9467147769924085e-12
100,26768502549478.496,2.3158130276530527e-12
101,29583770538117.5,2.752553514860707e-12
102,32695122845750.605,3.270284706774701e-12
103,36133698932034.266,3.8818805919039265e-12
104,39933913222185.34,4.605755021769878e-12
105,44133799538115.8,5.459327479551741e-12
106,48775391753706.1,6.467881493514005e-12
107,53905144483942.734,7.654807569340454e-12
108,59574398018319.39,9.054646382329043e-12
109,65839892151710.06,1.0698533269138598e-11
110,72764334055307.02,1.2633394881077227e-11
111,80417025871066.86,1.490025938095007e-11
112,88874558310840.06,1.756249498388865e-11
113,98221577201958.75,2.0673530236106327e-11
114,108551630651126.8,2.4318366914771126e-11
115,119968105305314.4,2.8565610495005717e-11
116,132585261080070.45,3.3528450072509667e-11
117,146529374711160.84,3.929349334957227e-11
118,161940003574584.16,4.6010257971053834e-11
119,178971382423696.78,5.3785799712591806e-11
120,197793967022464.72,6.281589624109438e-11
121,218596140124042.03,7.322937203261944e-11
122,241586096868680.38,8.528013327304382e-11
123,266993928470671.7,9.911775501080275e-11
124,295073925048555.94,1.1506812672596168e-10
125,326107120646097.25,1.332963398738644e-10
126,360404105915453.75,1.5421601384910905e-10
127,398308136612814.9,1.7799552019234783e-10
128,440198569017384.94,2.051535718637152e-10
129,486494656656529.5,2.358386114910477e-10
130,537659746335993.5,2.7069298478050725e-10
131,594205915470470.5,3.0980561013060967e-10
132,656699097126480.4,3.539617043077781e-10
133,725764744070721.0,4.031276724706313e-10
134,802094088511575.9,4.582513700116374e-10
135,886451060183387.6,5.190817796420897e-10
136,979679932012007.2,5.867504683338497e-10
137,1082713769881997.6,6.606525805828587e-10
138,1196583771073632.5,7.421285157508337e-10
139,1322429584831866.5,8.30032093203574e-10
140,1461510718359031.0,9.259479230068685e-10
141,1615219142386251.5,1.0279424782165702e-09
142,1785093222484373.5,1.1379019765023027e-09
143,1972833115543670.5,1.2527991255972633e-09
144,2180317785515437.2,1.3749208580406967e-09
145,2409623808714758.5,1.49978807628224e-09
146,2663046156894232.5,1.6302584643241825e-09
147,2943121166092623.0,1.7600160844527318e-09
